,Thursday,,,,,,,,,,,,,,,,,,,,,,,,,,,REHAT,,,,
,Friday,,,,,,,,,,,,,,,,,,,,,,,,,,,REHAT,,,,
,Day,"08:00 -
09:00","09:00 -
10:00",,,"10:00 -
11:00",,"11:00 -
12:00",,,,"12:00 -
01:00",,,"01:00 -
02:00",,,"02:00 -
03:00","03:00 -
04:00",,,"04:00 -
05:00",,"05:00 -
06:00",,,"06:00 -
07:00","07:00 -
08:00","08:00 -
09:00","09:00 -
10:00","10:00 -
11:00",
,Monday,"BIC21203:  S7 K
(I-noraziah) [I-BT4]",,,,,,,,,,,,,,,,,,,,,,,,,,REHAT,,,,
,Tuesday,"BIC21203:  S7 A
(I-noraziah) [I-MM-ARAS 0]",,,,,,,,,,,,,,,,,,,,,,,,,,REHAT,,,,
,Wednesday,,,,,,,,,,,,,,,,,,,,,,,,,,,REHAT,,,,
,Thursday,,,,,,,,,,,,,,,,,,,,,,,,,,,REHAT,,,,
,Friday,,,,,,,,,,,,,,,,,,,,,,,,,,,REHAT,,,,
Day,,"08:00 -
09:00","09:00 -
10:00",,,"10:00 -
11:00",,"11:00 -
12:00",,,,"12:00 -
01:00",,,"01:00 -
02:00",,,"02:00 -
03:00","03:00 -
04:00",,,"04:00 -
05:00",,"05:00 -
06:00",,,"06:00 -
07:00","07:00 -
08:00","08:00 -
09:00","09:00 -
10:00","10:00 -
11:00",
Monday,,,,,,"BIC21303:  S7 K
(I-shamsulk) [I-PERP-BT6-",,,,,,"BIC21303:  S5 A
(I-zana)
[I-CISCO-ARA",,,,,,"BIC21303:  S3 K
(I-nasar)
[I-PERP-BT9-",,,,,,,,,,REHAT,,,,
,,,,,,,,,,12,,,,,,,17,,,,20,,,,,,,,,,,
Tuesday,,,,,,,,,,,,,,,,,,,,,,"BIC21303:  S4 A
(I-nasar)
[I-CISCO-ARAS 2 ]",,,,,,REHAT,,,,
Wednesday,,"BIC21303:  S5 K
(I-zana)
[I-B8-T1-GS]",,,,,,,,,,,,,,,,,,,,,,,,,,REHAT,,,,
,,,,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thursday,,"BIC21303:  S1 A
(I-rahmi) [I-CISCO-AR",,,,"BIC21303:  S2 A
(I-rahmi)
[I-CISCO-ARAS 2 ]",,,,,,,,,,,,,,,,"BIC21303:  S3 A
(I-nasar) [I-CISCO-AR",,,,,,REHAT,,,,
,,,,100,,,,,,,,,,,,,,,,,,,,,131,,,,,,,
